wavelength,value
4000.00,0.8615
3999.00,0.8614
3998.00,0.8612
3997.00,0.8609
3996.00,0.8605
3995.00,0.8602
3994.00,0.8600
3993.00,0.8597
3992.00,0.8593
3991.00,0.8588
3990.00,0.8583
3989.00,0.8581
3988.00,0.8580
3987.00,0.8581
3986.00,0.8584
3985.00,0.8586
3984.00,0.8585
3983.00,0.8581
3982.00,0.8575
3981.00,0.8569
3980.00,0.8564
3979.00,0.8561
3978.00,0.8560
3977.00,0.8559
3976.00,0.8557
3975.00,0.8556
3974.00,0.8553
3973.00,0.8549
3972.00,0.8543
3971.00,0.8537
3970.00,0.8533
3969.00,0.8530
3968.00,0.8527
3967.00,0.8524
3966.00,0.8522
3965.00,0.8520
3964.00,0.8516
3963.00,0.8511
3962.00,0.8506
3961.00,0.8502
3960.00,0.8500
3959.00,0.8498
3958.00,0.8498
3957.00,0.8497
3956.00,0.8495
3955.00,0.8493
3954.00,0.8490
3953.00,0.8487
3952.00,0.8484
3951.00,0.8481
3950.00,0.8479
3949.00,0.8478
3948.00,0.8478
3947.00,0.8478
3946.00,0.8477
3945.00,0.8474
3944.00,0.8471
3943.00,0.8467
3942.00,0.8462
3941.00,0.8458
3940.00,0.8452
3939.00,0.8449
3938.00,0.8449
3937.00,0.8450
3936.00,0.8451
3935.00,0.8451
3934.00,0.8450
3933.00,0.8445
3932.00,0.8438
3931.00,0.8430
3930.00,0.8425
3929.00,0.8421
3928.00,0.8419
3927.00,0.8417
3926.00,0.8416
3925.00,0.8413
3924.00,0.8411
3923.00,0.8408
3922.00,0.8406
3921.00,0.8402
3920.00,0.8400
3919.00,0.8397
3918.00,0.8394
3917.00,0.8389
3916.00,0.8384
3915.00,0.8380
3914.00,0.8376
3913.00,0.8372
3912.00,0.8366
3911.00,0.8362
3910.00,0.8359
3909.00,0.8358
3908.00,0.8357
3907.00,0.8357
3906.00,0.8357
3905.00,0.8353
3904.00,0.8346
3903.00,0.8341
3902.00,0.8341
3901.00,0.8339
3900.00,0.8337
3899.00,0.8335
3898.00,0.8334
3897.00,0.8331
3896.00,0.8327
3895.00,0.8326
3894.00,0.8327
3893.00,0.8327
3892.00,0.8324
3891.00,0.8320
3890.00,0.8317
3889.00,0.8312
3888.00,0.8308
3887.00,0.8309
3886.00,0.8315
3885.00,0.8320
3884.00,0.8318
3883.00,0.8306
3882.00,0.8293
3881.00,0.8282
3880.00,0.8277
3879.00,0.8275
3878.00,0.8272
3877.00,0.8268
3876.00,0.8264
3875.00,0.8259
3874.00,0.8257
3873.00,0.8257
3872.00,0.8255
3871.00,0.8249
3870.00,0.8241
3869.00,0.8239
3868.00,0.8238
3867.00,0.8234
3866.00,0.8229
3865.00,0.8223
3864.00,0.8219
3863.00,0.8220
3862.00,0.8220
3861.00,0.8217
3860.00,0.8214
3859.00,0.8212
3858.00,0.8211
3857.00,0.8211
3856.00,0.8211
3855.00,0.8207
3854.00,0.8190
3853.00,0.8176
3852.00,0.8186
3851.00,0.8193
3850.00,0.8191
3849.00,0.8187
3848.00,0.8186
3847.00,0.8188
3846.00,0.8192
3845.00,0.8193
3844.00,0.8190
3843.00,0.8183
3842.00,0.8176
3841.00,0.8166
3840.00,0.8156
3839.00,0.8154
3838.00,0.8165
3837.00,0.8179
3836.00,0.8184
3835.00,0.8180
3834.00,0.8170
3833.00,0.8159
3832.00,0.8149
3831.00,0.8145
3830.00,0.8143
3829.00,0.8140
3828.00,0.8136
3827.00,0.8131
3826.00,0.8129
3825.00,0.8129
3824.00,0.8130
3823.00,0.8131
3822.00,0.8129
3821.00,0.8126
3820.00,0.8131
3819.00,0.8134
3818.00,0.8131
3817.00,0.8126
3816.00,0.8122
3815.00,0.8120
3814.00,0.8115
3813.00,0.8106
3812.00,0.8099
3811.00,0.8097
3810.00,0.8098
3809.00,0.8099
3808.00,0.8095
3807.00,0.8090
3806.00,0.8089
3805.00,0.8089
3804.00,0.8085
3803.00,0.8077
3802.00,0.8064
3801.00,0.8060
3800.00,0.8067
3799.00,0.8070
3798.00,0.8069
3797.00,0.8066
3796.00,0.8062
3795.00,0.8059
3794.00,0.8056
3793.00,0.8055
3792.00,0.8055
3791.00,0.8057
3790.00,0.8059
3789.00,0.8058
3788.00,0.8056
3787.00,0.8053
3786.00,0.8049
3785.00,0.8044
3784.00,0.8040
3783.00,0.8038
3782.00,0.8039
3781.00,0.8043
3780.00,0.8047
3779.00,0.8049
3778.00,0.8046
3777.00,0.8037
3776.00,0.8028
3775.00,0.8023
3774.00,0.8022
3773.00,0.8023
3772.00,0.8024
3771.00,0.8025
3770.00,0.8025
3769.00,0.8025
3768.00,0.8023
3767.00,0.8019
3766.00,0.8014
3765.00,0.8010
3764.00,0.8008
3763.00,0.8006
3762.00,0.8005
3761.00,0.8006
3760.00,0.8007
3759.00,0.8007
3758.00,0.8007
3757.00,0.8005
3756.00,0.8002
3755.00,0.8001
3754.00,0.8002
3753.00,0.8000
3752.00,0.7987
3751.00,0.7974
3750.00,0.7978
3749.00,0.7990
3748.00,0.7996
3747.00,0.7996
3746.00,0.7994
3745.00,0.7991
3744.00,0.7997
3743.00,0.8009
3742.00,0.8013
3741.00,0.8012
3740.00,0.8014
3739.00,0.8020
3738.00,0.8029
3737.00,0.8033
3736.00,0.8025
3735.00,0.8013
3734.00,0.8006
3733.00,0.7996
3732.00,0.7986
3731.00,0.7979
3730.00,0.7975
3729.00,0.7973
3728.00,0.7972
3727.00,0.7975
3726.00,0.7980
3725.00,0.7982
3724.00,0.7979
3723.00,0.7974
3722.00,0.7973
3721.00,0.7976
3720.00,0.7979
3719.00,0.7981
3718.00,0.7983
3717.00,0.7985
3716.00,0.7987
3715.00,0.7990
3714.00,0.7994
3713.00,0.7995
3712.00,0.7992
3711.00,0.7991
3710.00,0.7995
3709.00,0.7994
3708.00,0.7991
3707.00,0.7990
3706.00,0.7990
3705.00,0.7992
3704.00,0.7994
3703.00,0.7996
3702.00,0.7999
3701.00,0.8002
3700.00,0.8006
3699.00,0.8008
3698.00,0.8010
3697.00,0.8014
3696.00,0.8018
3695.00,0.8023
3694.00,0.8029
3693.00,0.8034
3692.00,0.8041
3691.00,0.8053
3690.00,0.8073
3689.00,0.8092
3688.00,0.8098
3687.00,0.8093
3686.00,0.8084
3685.00,0.8078
3684.00,0.8076
3683.00,0.8078
3682.00,0.8082
3681.00,0.8088
3680.00,0.8096
3679.00,0.8108
3678.00,0.8118
3677.00,0.8123
3676.00,0.8124
3675.00,0.8141
3674.00,0.8164
3673.00,0.8170
3672.00,0.8169
3671.00,0.8167
3670.00,0.8173
3669.00,0.8188
3668.00,0.8199
3667.00,0.8203
3666.00,0.8206
3665.00,0.8213
3664.00,0.8222
3663.00,0.8234
3662.00,0.8250
3661.00,0.8270
3660.00,0.8288
3659.00,0.8302
3658.00,0.8311
3657.00,0.8317
3656.00,0.8323
3655.00,0.8331
3654.00,0.8339
3653.00,0.8350
3652.00,0.8366
3651.00,0.8386
3650.00,0.8403
3649.00,0.8411
3648.00,0.8415
3647.00,0.8421
3646.00,0.8427
3645.00,0.8433
3644.00,0.8438
3643.00,0.8445
3642.00,0.8455
3641.00,0.8466
3640.00,0.8475
3639.00,0.8484
3638.00,0.8494
3637.00,0.8506
3636.00,0.8518
3635.00,0.8532
3634.00,0.8547
3633.00,0.8559
3632.00,0.8567
3631.00,0.8572
3630.00,0.8575
3629.00,0.8587
3628.00,0.8615
3627.00,0.8635
3626.00,0.8642
3625.00,0.8647
3624.00,0.8656
3623.00,0.8670
3622.00,0.8687
3621.00,0.8703
3620.00,0.8716
3619.00,0.8726
3618.00,0.8737
3617.00,0.8745
3616.00,0.8750
3615.00,0.8758
3614.00,0.8768
3613.00,0.8779
3612.00,0.8791
3611.00,0.8801
3610.00,0.8809
3609.00,0.8819
3608.00,0.8832
3607.00,0.8848
3606.00,0.8863
3605.00,0.8873
3604.00,0.8882
3603.00,0.8892
3602.00,0.8904
3601.00,0.8919
3600.00,0.8934
3599.00,0.8946
3598.00,0.8952
3597.00,0.8956
3596.00,0.8962
3595.00,0.8974
3594.00,0.8992
3593.00,0.9009
3592.00,0.9020
3591.00,0.9027
3590.00,0.9034
3589.00,0.9042
3588.00,0.9060
3587.00,0.9092
3586.00,0.9122
3585.00,0.9134
3584.00,0.9135
3583.00,0.9136
3582.00,0.9139
3581.00,0.9142
3580.00,0.9145
3579.00,0.9148
3578.00,0.9155
3577.00,0.9163
3576.00,0.9171
3575.00,0.9179
3574.00,0.9189
3573.00,0.9199
3572.00,0.9213
3571.00,0.9229
3570.00,0.9245
3569.00,0.9256
3568.00,0.9259
3567.00,0.9262
3566.00,0.9277
3565.00,0.9294
3564.00,0.9304
3563.00,0.9314
3562.00,0.9326
3561.00,0.9338
3560.00,0.9346
3559.00,0.9350
3558.00,0.9352
3557.00,0.9354
3556.00,0.9356
3555.00,0.9359
3554.00,0.9366
3553.00,0.9376
3552.00,0.9388
3551.00,0.9396
3550.00,0.9400
3549.00,0.9404
3548.00,0.9411
3547.00,0.9424
3546.00,0.9440
3545.00,0.9451
3544.00,0.9453
3543.00,0.9445
3542.00,0.9431
3541.00,0.9415
3540.00,0.9402
3539.00,0.9394
3538.00,0.9394
3537.00,0.9399
3536.00,0.9403
3535.00,0.9401
3534.00,0.9394
3533.00,0.9386
3532.00,0.9381
3531.00,0.9381
3530.00,0.9387
3529.00,0.9395
3528.00,0.9404
3527.00,0.9416
3526.00,0.9431
3525.00,0.9449
3524.00,0.9464
3523.00,0.9475
3522.00,0.9478
3521.00,0.9476
3520.00,0.9474
3519.00,0.9476
3518.00,0.9483
3517.00,0.9493
3516.00,0.9504
3515.00,0.9518
3514.00,0.9532
3513.00,0.9543
3512.00,0.9548
3511.00,0.9552
3510.00,0.9560
3509.00,0.9571
3508.00,0.9582
3507.00,0.9592
3506.00,0.9605
3505.00,0.9624
3504.00,0.9648
3503.00,0.9672
3502.00,0.9690
3501.00,0.9700
3500.00,0.9706
3499.00,0.9713
3498.00,0.9725
3497.00,0.9739
3496.00,0.9750
3495.00,0.9758
3494.00,0.9765
3493.00,0.9770
3492.00,0.9772
3491.00,0.9776
3490.00,0.9783
3489.00,0.9796
3488.00,0.9813
3487.00,0.9828
3486.00,0.9836
3485.00,0.9836
3484.00,0.9834
3483.00,0.9838
3482.00,0.9853
3481.00,0.9873
3480.00,0.9890
3479.00,0.9899
3478.00,0.9901
3477.00,0.9900
3476.00,0.9899
3475.00,0.9901
3474.00,0.9906
3473.00,0.9914
3472.00,0.9925
3471.00,0.9941
3470.00,0.9959
3469.00,0.9976
3468.00,0.9986
3467.00,0.9992
3466.00,0.9992
3465.00,0.9989
3464.00,0.9982
3463.00,0.9980
3462.00,0.9985
3461.00,0.9996
3460.00,1.0004
3459.00,1.0008
3458.00,1.0006
3457.00,1.0003
3456.00,1.0001
3455.00,1.0003
3454.00,1.0009
3453.00,1.0016
3452.00,1.0021
3451.00,1.0024
3450.00,1.0030
3449.00,1.0041
3448.00,1.0057
3447.00,1.0075
3446.00,1.0088
3445.00,1.0095
3444.00,1.0099
3443.00,1.0105
3442.00,1.0115
3441.00,1.0130
3440.00,1.0150
3439.00,1.0175
3438.00,1.0203
3437.00,1.0227
3436.00,1.0246
3435.00,1.0263
3434.00,1.0280
3433.00,1.0298
3432.00,1.0315
3431.00,1.0331
3430.00,1.0348
3429.00,1.0361
3428.00,1.0370
3427.00,1.0377
3426.00,1.0386
3425.00,1.0396
3424.00,1.0407
3423.00,1.0423
3422.00,1.0444
3421.00,1.0468
3420.00,1.0487
3419.00,1.0499
3418.00,1.0508
3417.00,1.0519
3416.00,1.0533
3415.00,1.0552
3414.00,1.0572
3413.00,1.0589
3412.00,1.0599
3411.00,1.0605
3410.00,1.0609
3409.00,1.0610
3408.00,1.0606
3407.00,1.0601
3406.00,1.0600
3405.00,1.0605
3404.00,1.0614
3403.00,1.0625
3402.00,1.0633
3401.00,1.0638
3400.00,1.0638
3399.00,1.0635
3398.00,1.0629
3397.00,1.0621
3396.00,1.0614
3395.00,1.0610
3394.00,1.0614
3393.00,1.0621
3392.00,1.0626
3391.00,1.0624
3390.00,1.0616
3389.00,1.0604
3388.00,1.0592
3387.00,1.0583
3386.00,1.0581
3385.00,1.0581
3384.00,1.0584
3383.00,1.0589
3382.00,1.0597
3381.00,1.0605
3380.00,1.0611
3379.00,1.0614
3378.00,1.0618
3377.00,1.0622
3376.00,1.0624
3375.00,1.0625
3374.00,1.0628
3373.00,1.0634
3372.00,1.0644
3371.00,1.0656
3370.00,1.0668
3369.00,1.0678
3368.00,1.0682
3367.00,1.0681
3366.00,1.0677
3365.00,1.0670
3364.00,1.0664
3363.00,1.0664
3362.00,1.0671
3361.00,1.0680
3360.00,1.0683
3359.00,1.0681
3358.00,1.0677
3357.00,1.0675
3356.00,1.0677
3355.00,1.0684
3354.00,1.0696
3353.00,1.0711
3352.00,1.0725
3351.00,1.0738
3350.00,1.0746
3349.00,1.0747
3348.00,1.0745
3347.00,1.0747
3346.00,1.0757
3345.00,1.0773
3344.00,1.0789
3343.00,1.0804
3342.00,1.0818
3341.00,1.0832
3340.00,1.0845
3339.00,1.0861
3338.00,1.0876
3337.00,1.0885
3336.00,1.0889
3335.00,1.0889
3334.00,1.0890
3333.00,1.0893
3332.00,1.0899
3331.00,1.0910
3330.00,1.0924
3329.00,1.0943
3328.00,1.0964
3327.00,1.0987
3326.00,1.1008
3325.00,1.1023
3324.00,1.1030
3323.00,1.1033
3322.00,1.1035
3321.00,1.1039
3320.00,1.1043
3319.00,1.1050
3318.00,1.1059
3317.00,1.1067
3316.00,1.1075
3315.00,1.1085
3314.00,1.1098
3313.00,1.1112
3312.00,1.1125
3311.00,1.1140
3310.00,1.1157
3309.00,1.1173
3308.00,1.1183
3307.00,1.1191
3306.00,1.1197
3305.00,1.1201
3304.00,1.1202
3303.00,1.1200
3302.00,1.1197
3301.00,1.1194
3300.00,1.1192
3299.00,1.1195
3298.00,1.1208
3297.00,1.1226
3296.00,1.1242
3295.00,1.1254
3294.00,1.1263
3293.00,1.1272
3292.00,1.1280
3291.00,1.1289
3290.00,1.1295
3289.00,1.1297
3288.00,1.1297
3287.00,1.1301
3286.00,1.1312
3285.00,1.1325
3284.00,1.1336
3283.00,1.1348
3282.00,1.1363
3281.00,1.1377
3280.00,1.1389
3279.00,1.1400
3278.00,1.1416
3277.00,1.1436
3276.00,1.1457
3275.00,1.1476
3274.00,1.1492
3273.00,1.1505
3272.00,1.1516
3271.00,1.1525
3270.00,1.1530
3269.00,1.1528
3268.00,1.1521
3267.00,1.1514
3266.00,1.1511
3265.00,1.1510
3264.00,1.1508
3263.00,1.1506
3262.00,1.1506
3261.00,1.1506
3260.00,1.1504
3259.00,1.1502
3258.00,1.1504
3257.00,1.1507
3256.00,1.1508
3255.00,1.1503
3254.00,1.1491
3253.00,1.1475
3252.00,1.1459
3251.00,1.1449
3250.00,1.1444
3249.00,1.1443
3248.00,1.1442
3247.00,1.1440
3246.00,1.1437
3245.00,1.1428
3244.00,1.1411
3243.00,1.1395
3242.00,1.1385
3241.00,1.1380
3240.00,1.1376
3239.00,1.1372
3238.00,1.1368
3237.00,1.1367
3236.00,1.1368
3235.00,1.1372
3234.00,1.1376
3233.00,1.1373
3232.00,1.1360
3231.00,1.1337
3230.00,1.1311
3229.00,1.1284
3228.00,1.1259
3227.00,1.1239
3226.00,1.1224
3225.00,1.1211
3224.00,1.1195
3223.00,1.1179
3222.00,1.1165
3221.00,1.1154
3220.00,1.1144
3219.00,1.1133
3218.00,1.1120
3217.00,1.1105
3216.00,1.1089
3215.00,1.1074
3214.00,1.1060
3213.00,1.1045
3212.00,1.1027
3211.00,1.1012
3210.00,1.1001
3209.00,1.0992
3208.00,1.0983
3207.00,1.0974
3206.00,1.0964
3205.00,1.0950
3204.00,1.0935
3203.00,1.0920
3202.00,1.0907
3201.00,1.0893
3200.00,1.0878
3199.00,1.0865
3198.00,1.0855
3197.00,1.0845
3196.00,1.0833
3195.00,1.0822
3194.00,1.0814
3193.00,1.0805
3192.00,1.0794
3191.00,1.0783
3190.00,1.0774
3189.00,1.0763
3188.00,1.0749
3187.00,1.0733
3186.00,1.0720
3185.00,1.0708
3184.00,1.0694
3183.00,1.0681
3182.00,1.0671
3181.00,1.0661
3180.00,1.0648
3179.00,1.0633
3178.00,1.0618
3177.00,1.0603
3176.00,1.0589
3175.00,1.0576
3174.00,1.0564
3173.00,1.0552
3172.00,1.0538
3171.00,1.0523
3170.00,1.0509
3169.00,1.0495
3168.00,1.0480
3167.00,1.0465
3166.00,1.0452
3165.00,1.0439
3164.00,1.0425
3163.00,1.0411
3162.00,1.0398
3161.00,1.0383
3160.00,1.0366
3159.00,1.0349
3158.00,1.0336
3157.00,1.0325
3156.00,1.0317
3155.00,1.0311
3154.00,1.0304
3153.00,1.0295
3152.00,1.0279
3151.00,1.0258
3150.00,1.0234
3149.00,1.0206
3148.00,1.0178
3147.00,1.0153
3146.00,1.0133
3145.00,1.0114
3144.00,1.0096
3143.00,1.0081
3142.00,1.0071
3141.00,1.0063
3140.00,1.0052
3139.00,1.0038
3138.00,1.0018
3137.00,0.9993
3136.00,0.9964
3135.00,0.9938
3134.00,0.9917
3133.00,0.9899
3132.00,0.9881
3131.00,0.9865
3130.00,0.9847
3129.00,0.9824
3128.00,0.9797
3127.00,0.9769
3126.00,0.9745
3125.00,0.9724
3124.00,0.9706
3123.00,0.9689
3122.00,0.9674
3121.00,0.9659
3120.00,0.9640
3119.00,0.9617
3118.00,0.9594
3117.00,0.9570
3116.00,0.9545
3115.00,0.9519
3114.00,0.9492
3113.00,0.9465
3112.00,0.9438
3111.00,0.9412
3110.00,0.9391
3109.00,0.9371
3108.00,0.9351
3107.00,0.9329
3106.00,0.9307
3105.00,0.9287
3104.00,0.9269
3103.00,0.9256
3102.00,0.9247
3101.00,0.9239
3100.00,0.9227
3099.00,0.9211
3098.00,0.9193
3097.00,0.9174
3096.00,0.9156
3095.00,0.9141
3094.00,0.9129
3093.00,0.9118
3092.00,0.9107
3091.00,0.9095
3090.00,0.9083
3089.00,0.9069
3088.00,0.9054
3087.00,0.9039
3086.00,0.9025
3085.00,0.9013
3084.00,0.9000
3083.00,0.8986
3082.00,0.8973
3081.00,0.8961
3080.00,0.8947
3079.00,0.8932
3078.00,0.8917
3077.00,0.8900
3076.00,0.8881
3075.00,0.8862
3074.00,0.8843
3073.00,0.8826
3072.00,0.8809
3071.00,0.8793
3070.00,0.8779
3069.00,0.8767
3068.00,0.8755
3067.00,0.8742
3066.00,0.8728
3065.00,0.8712
3064.00,0.8695
3063.00,0.8678
3062.00,0.8661
3061.00,0.8643
3060.00,0.8625
3059.00,0.8608
3058.00,0.8592
3057.00,0.8575
3056.00,0.8556
3055.00,0.8536
3054.00,0.8515
3053.00,0.8496
3052.00,0.8478
3051.00,0.8461
3050.00,0.8445
3049.00,0.8429
3048.00,0.8412
3047.00,0.8396
3046.00,0.8380
3045.00,0.8365
3044.00,0.8351
3043.00,0.8342
3042.00,0.8340
3041.00,0.8347
3040.00,0.8365
3039.00,0.8396
3038.00,0.8435
3037.00,0.8475
3036.00,0.8509
3035.00,0.8538
3034.00,0.8567
3033.00,0.8600
3032.00,0.8634
3031.00,0.8658
3030.00,0.8662
3029.00,0.8640
3028.00,0.8596
3027.00,0.8537
3026.00,0.8473
3025.00,0.8409
3024.00,0.8350
3023.00,0.8298
3022.00,0.8253
3021.00,0.8214
3020.00,0.8180
3019.00,0.8149
3018.00,0.8122
3017.00,0.8099
3016.00,0.8078
3015.00,0.8059
3014.00,0.8042
3013.00,0.8027
3012.00,0.8012
3011.00,0.7998
3010.00,0.7986
3009.00,0.7974
3008.00,0.7963
3007.00,0.7955
3006.00,0.7949
3005.00,0.7945
3004.00,0.7940
3003.00,0.7934
3002.00,0.7930
3001.00,0.7927
3000.00,0.7925
2999.00,0.7924
2998.00,0.7924
2997.00,0.7925
2996.00,0.7925
2995.00,0.7925
2994.00,0.7927
2993.00,0.7928
2992.00,0.7928
2991.00,0.7926
2990.00,0.7923
2989.00,0.7919
2988.00,0.7915
2987.00,0.7911
2986.00,0.7908
2985.00,0.7905
2984.00,0.7901
2983.00,0.7899
2982.00,0.7897
2981.00,0.7895
2980.00,0.7891
2979.00,0.7886
2978.00,0.7881
2977.00,0.7875
2976.00,0.7869
2975.00,0.7863
2974.00,0.7858
2973.00,0.7852
2972.00,0.7846
2971.00,0.7839
2970.00,0.7834
2969.00,0.7828
2968.00,0.7821
2967.00,0.7813
2966.00,0.7805
2965.00,0.7799
2964.00,0.7792
2963.00,0.7786
2962.00,0.7780
2961.00,0.7775
2960.00,0.7771
2959.00,0.7768
2958.00,0.7768
2957.00,0.7769
2956.00,0.7769
2955.00,0.7769
2954.00,0.7768
2953.00,0.7767
2952.00,0.7766
2951.00,0.7766
2950.00,0.7767
2949.00,0.7768
2948.00,0.7768
2947.00,0.7767
2946.00,0.7766
2945.00,0.7766
2944.00,0.7764
2943.00,0.7762
2942.00,0.7761
2941.00,0.7760
2940.00,0.7756
2939.00,0.7751
2938.00,0.7744
2937.00,0.7737
2936.00,0.7729
2935.00,0.7722
2934.00,0.7715
2933.00,0.7707
2932.00,0.7699
2931.00,0.7690
2930.00,0.7681
2929.00,0.7671
2928.00,0.7659
2927.00,0.7649
2926.00,0.7640
2925.00,0.7632
2924.00,0.7624
2923.00,0.7616
2922.00,0.7610
2921.00,0.7604
2920.00,0.7599
2919.00,0.7593
2918.00,0.7588
2917.00,0.7582
2916.00,0.7575
2915.00,0.7567
2914.00,0.7561
2913.00,0.7554
2912.00,0.7548
2911.00,0.7541
2910.00,0.7534
2909.00,0.7526
2908.00,0.7516
2907.00,0.7507
2906.00,0.7498
2905.00,0.7490
2904.00,0.7482
2903.00,0.7472
2902.00,0.7463
2901.00,0.7452
2900.00,0.7442
2899.00,0.7432
2898.00,0.7425
2897.00,0.7418
2896.00,0.7410
2895.00,0.7401
2894.00,0.7391
2893.00,0.7382
2892.00,0.7372
2891.00,0.7363
2890.00,0.7356
2889.00,0.7350
2888.00,0.7344
2887.00,0.7339
2886.00,0.7335
2885.00,0.7331
2884.00,0.7326
2883.00,0.7319
2882.00,0.7313
2881.00,0.7306
2880.00,0.7299
2879.00,0.7292
2878.00,0.7285
2877.00,0.7277
2876.00,0.7269
2875.00,0.7261
2874.00,0.7254
2873.00,0.7246
2872.00,0.7238
2871.00,0.7229
2870.00,0.7219
2869.00,0.7210
2868.00,0.7201
2867.00,0.7192
2866.00,0.7184
2865.00,0.7176
2864.00,0.7168
2863.00,0.7160
2862.00,0.7153
2861.00,0.7149
2860.00,0.7144
2859.00,0.7139
2858.00,0.7133
2857.00,0.7125
2856.00,0.7118
2855.00,0.7113
2854.00,0.7109
2853.00,0.7107
2852.00,0.7105
2851.00,0.7104
2850.00,0.7105
2849.00,0.7107
2848.00,0.7108
2847.00,0.7107
2846.00,0.7106
2845.00,0.7105
2844.00,0.7104
2843.00,0.7104
2842.00,0.7105
2841.00,0.7106
2840.00,0.7105
2839.00,0.7104
2838.00,0.7100
2837.00,0.7093
2836.00,0.7085
2835.00,0.7075
2834.00,0.7066
2833.00,0.7055
2832.00,0.7044
2831.00,0.7031
2830.00,0.7018
2829.00,0.7004
2828.00,0.6989
2827.00,0.6973
2826.00,0.6958
2825.00,0.6942
2824.00,0.6924
2823.00,0.6906
2822.00,0.6886
2821.00,0.6866
2820.00,0.6845
2819.00,0.6823
2818.00,0.6801
2817.00,0.6778
2816.00,0.6754
2815.00,0.6729
2814.00,0.6703
